Rest Area Type	Name	Description	Location	Accessible From	X Coord	Y Coord	Responsible Authority	Facilities
Heavy and Light Vehicle Rest Area	Pevensey Rest Area	"STURT HIGHWAY, NR HAY"	30km from Hay and 102km to Balranald	Both Directions	-34.60352	144.5669	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Pejar Dam Rest Area N/B	"CROOKWELL ROAD, GOULBURN"	25km West of Goulburn	Both Directions	-34.58679	149.58079	Council	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Parking area at Sebastopol	"OLD JUNEE-TEMORA RD, NR OLD JUNEE"	71km from Wagga Wagga and 16km to Temora	Both Directions	-34.58277	147.51991	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Mackey VC	"HUME HIGHWAY, BERRIMA"	26km South of Mittagong	Northbound	-34.57934	150.25342	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area		"KIDMAN WAY, DARLINGTON POINT"	99km from  Jerilderie and  34km to Griffith	Both Directions	-34.5744	145.9958	Council	"Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Yarada Rest Areas	"STURT HIGHWAY, NR DARLINGTON POINT"	79km from Narrandera and  95km to Hay	Both Directions	-34.57419	145.79164	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Parking Area near Keiths Rd	"OLD JUNEE-TEMORA RD, NR OLD JUNEE"	72km from Wagga Wagga and 15km to Temora	Both Directions	-34.57127	147.51072	Roads and Maritime Services	Litter Bins
Load Checking Area	Comfort Hill N/B	"HUME HIGHWAY, BERRIMA"	25km South of Mittagong	Southbound	-34.56216	150.25534	Roads and Maritime Services	
Light Vehicle Rest Area	Abbotts Tank Rest Area	"STURT HIGHWAY, NR BALRANALD"	53km from Balranald and  26km to Euston	Both Directions	-34.54093	142.99662	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Tapalin Rest Area	"STURT HIGHWAY, NR EUSTON"	10km from Euston and  69km to Mildura (VIC)	Both Directions	-34.53934	142.65282	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Tapalin Rest Area	"STURT HIGHWAY, NR EUSTON"	10km from Euston and 69km to Mildura (VIC)	Both Directions	-34.53893	142.65197	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area		"BURLEY GRIFFIN WAY, NR MURRUMBURRAH"	5km from Harden and  77km to Temora	Both Directions	-34.53795	148.31253	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Gordon VC	"HUME HIGHWAY, BERRIMA"	22km South of Mittagong	Both Directions	-34.53498	150.28167	Roads and Maritime Services	"Emergency Phone, Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Mackay Park	"OLYMPIC HIGHWAY, NR COOTAMUNDRA"	20km from Cootamundra and  29km to Young	Both Directions	-34.52999	148.16286	Council	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Meilman East Rest Area	"STURT HIGHWAY, NR BALRANALD"	59km from Balranald and  21km to Euston	Both Directions	-34.52903	142.93814	Roads and Maritime Services	"Toilets, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Birdcage Rest Area	"STURT HIGHWAY, NR DARLINGTON POINT"	89km from Narrandera and  84km to Hay	Both Directions	-34.52367	145.70091	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Birdcage Rest Area	"STURT HIGHWAY, NR DARLINGTON POINT"	89km from Narrandera and  84km to Hay	Both Directions	-34.52367	145.70091	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	West of Medina Roundabout Hay	"MOAMA ST, SOUTH HAY"	2km from Hay and 130km to Balranald	Both Directions	-34.5206	144.83892	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Golf Club	"STURT HIGHWAY, NR HAY"	2km from Hay and 129km to Balranald	Both Directions	-34.52036	144.82958	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Golf Club	"STURT HIGHWAY, NR HAY"	2km from Hay and 129km to Balranald	Both Directions	-34.52033	144.82914	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Mungadal	"STURT HIGHWAY, NR HAY"	3km from Hay and 129km to Balranald	Both Directions	-34.51986	144.82052	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Mungadal	"STURT HIGHWAY, NR HAY"	3km from Hay and 129km to Balranald	Both Directions	-34.51984	144.81998	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Wind Farm Viewing Area	"CROOKWELL ROAD, CROOKWELL"	34km West of Goulburn	Both Directions	-34.51971	149.55493	Other	
Light Vehicle Rest Area	Benanee Lake	"STURT HIGHWAY, LAKE BENANEE"	65km from Balranald and 15km to Euston	Both Directions	-34.51901	142.87618	Council	"Toilets, Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Zinder Park Rest Area	"STURT HIGHWAY, LAKE BENANEE"	67km from Balranald and 12km to Euston	Southbound	-34.51414	142.8482	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Mulberygong Rest Area	"STURT HIGHWAY, NR HAY"	134km from Narrandera and  39km to Hay	Both Directions	-34.51298	145.24167	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Reinholdts Lane	"OLD JUNEE-TEMORA RD, NR SEBASTOPOL"	80km from Wagga Wagga and  7km to Temora	Both Directions	-34.50128	147.506	Roads and Maritime Services	 
Heavy and Light Vehicle Rest Area	Birriwa	"MID WESTERN HIGHWAY, HAY"	247km from West Wyalong and  8km to Hay	Both Directions	-34.49765	144.91777	Roads and Maritime Services	Litter Bins
Load Checking Area	Sturts Marked Tree	"MID WESTERN HIGHWAY, HAY"	251km from West Wyalong and  4km to Hay	Both Directions	-34.49043	144.87727	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Spingdale	"BOWNING-TEMORA RD, STOCKINBINGAL"	62.5km from Harden and 19.6km to Temora	Both Directions	-34.46804	147.72626	Council	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Mail Route Rest Area	"STURT HIGHWAY, NR EUSTON"	23km from Euston and  55km to Mildura (VIC)	Both Directions	-34.4644	142.54049	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Mail Route Rest Area	"STURT HIGHWAY, NR EUSTON"	23km from Euston and  55km to Mildura (VIC)	Both Directions	-34.46432	142.54036	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Crookwell River near Laggan Street	"CARRINGTON ST, CROOKWELL"	0.5km West of Crookwell	Both Directions	-34.4549	149.46514	Council	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Ardlethan Rest Area-Southbound	"NEWELL HIGHWAY, NR ARDLETHAN"	55km from Narrandera and  81km to West Wyalong	Northbound	-34.44767	146.83938	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Ardlethan Rest Area-Northbound	"NEWELL HIGHWAY, NR ARDLETHAN"	55km from Narrandera and  81km to West Wyalong	Both Directions	-34.44743	146.83887	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area		"BURLEY GRIFFIN WAY, TEMORA"	10km from Temora and  56km to Ardlethan	Both Directions	-34.43638	147.43343	Roads and Maritime Services	Litter Bins
Load Checking Area		"BURLEY GRIFFIN WAY, TEMORA"	10km from Temora and  56km to Ardlethan	Both Directions	-34.43622	147.43406	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area		"TEMORA-BARMEDMAN RD, TEMORA"	4km from Temora and  64km to West Wyalong	Both Directions	-34.41298	147.51395	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Mt Ousley Day Park Old Mt Ousley Rd	"MT OUSLEY RD, FAIRY MEADOW"	3.6km West of Wollongong	Both Directions	-34.4016	150.88061	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Mallee Fowl Rest Area	"STURT HIGHWAY, NR EUSTON"	38km from Euston and  41km to Mildura (VIC)	Both Directions	-34.39056	142.42704	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Parking Area Top of Mt Ousley W/B	"MT OUSLEY RD, MOUNT OUSLEY"	8km West of Wollongong	Southbound	-34.3748	150.86133	Roads and Maritime Services	"Emergency Phone, Toilets, Wheelchair Accessible"
Light Vehicle Rest Area	Junction MR84 Bowning to Temora Rd	"OLYMPIC HIGHWAY, NR YOUNG"	41km from Cootamundra and  8km to Young	Both Directions	-34.37445	148.26001	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Parking Area Top of Mt Ousley E/B	"MT OUSLEY ROAD, MOUNT OUSLEY"	8km West of Wollongong	Northbound	-34.37434	150.86121	Roads and Maritime Services	"Emergency Phone, "
Light Vehicle Rest Area	Sunset Viewing Area	"COBB HIGHWAY, HAY"	15km from Hay and 193km to Ivanhoe	Both Directions	-34.37169	144.81354	Roads and Maritime Services	Picnic Tables
Heavy and Light Vehicle Rest Area		"KIDMAN WAY, HANWOOD"	25km from Darlington Point and 9km to Griffith	Both Directions	-34.36947	146.03518	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	1km Nth of Sierra Rd Yerrinbool N/B	"HUME HIGHWAY, YANDERRA"	15km North of Mittagong	Southbound	-34.3551	150.54052	Roads and Maritime Services	
Load Checking Area	1.3km Nth of Sierra Rd Yerrinbool N/B	"HUME HIGHWAY, YANDERRA"	15km North of Mittagong	Southbound	-34.35425	150.54268	Roads and Maritime Services	
Load Checking Area	Mirrool South	"NEWELL HIGHWAY, NR ARDLETHAN"	85km from Narrandera and 51km to West Wyalong	Both Directions	-34.34383	147.07613	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Beckom Rest Area	"NEWELL HIGHWAY, NR ARDLETHAN"	79km from Narrandera and 57km to West Wyalong	Both Directions	-34.3361	147.01442	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Schmidts Lane	"TEMORA-BARMEDMAN RD, GIDGINBUNG"	14km from Temora and  55km to West Wyalong	Both Directions	-34.33438	147.47729	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Schmidts Lane	"TEMORA-BARMEDMAN RD, GIDGINBUNG"	14km from Temora and  55km to West Wyalong	Both Directions	-34.33438	147.47729	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Mirrool	"NEWELL HIGHWAY, NR MIRROOL"	87km from Narrandera and 49km to West Wyalong	Both Directions	-34.33258	147.08636	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	20 Mile Gums	"MID WESTERN HIGHWAY, GUNBAR"	223km from West Wyalong and  32km to Hay	Both Directions	-34.3321	145.06648	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Parking Area Sth of Bargo On Ramp S/B	"HUME HIGHWAY, YANDERRA"	38km South of Campbelltown	Eastbound	-34.32823	150.56747	Roads and Maritime Services	
Load Checking Area	Sth of Avon Dam Rd N/B	"HUME HIGHWAY, PHEASANTS NEST"	21km North of Mittagong	Westbound	-34.31238	150.59204	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Picton Rd near Cordeaux Dam	"PICTON RD, NR CORDEAUX DAM"	25km West of Wollongong	Southbound	-34.29895	150.73577	Roads and Maritime Services	"Toilets, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	MR95 Picton Road near old airstrip	"PICTON RD, NR CORDEAUX DAM"	27km West of Wollongong	Westbound	-34.28941	150.72709	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Lions Lookout	"OLYMPIC HIGHWAY, YOUNG"	8km from Young and  63km to Cowra	Both Directions	-34.28762	148.3546	Other	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Mobil Service Centre Yanderra N/B	"HUME HIGHWAY, PHEASANTS NEST"	30km South of Campbelltown	Southbound	-34.28357	150.63704	Other	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Pheasants Nest Mobil Service Centre S/B	"HUME HIGHWAY, PHEASANTS NEST"	30km South of Campbelltown	Northbound	-34.28342	150.64188	Other	
Heavy and Light Vehicle Rest Area	Appin Rd	"APPIN RD, BULLI HEIGHTS"	12km West of Bulli	Eastbound	-34.25499	150.86906	Roads and Maritime Services	"Emergency Phone, Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Appin Rd EB Truck Parking Facility	"APPIN RD, BULLI HEIGHTS"	10km East of Appin	Northbound	-34.25499	150.86906	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area		"TEMORA-YENDA RD, BARELLAN"	45km from Ardlethan and  40km to Griffith	Both Directions	-34.25274	146.44951	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Bald Hill Lookout	"LADY WAKEHURST DR, STANWELL PARK"	1.8km North of Stanwell Park	Both Directions	-34.22388	150.99732	Council	"Toilets, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Trentham Rest Area	"STURT HIGHWAY, MONAK"	66km from Euston and 13km to Mildura (VIC)	Both Directions	-34.22162	142.2479	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area	Truck Parking near Georges River Appin	"APPIN RD, APPIN"	20km West of Bulli	Both Directions	-34.21704	150.80442	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Parking area Otford Pie Shop	"LADY WAKEHURST DR, STANWELL PARK"	4km North of Stanwell Park	Both Directions	-34.21162	151.01025	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Parking area Otford	"LADY WAKEHURST DR, OTFORD"	4km North of Stanwell Park	Eastbound	-34.21156	151.01042	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Parking area Otford Lookout	"LADY WAKEHURST DR, OTFORD"	4km North of Stanwell Park	Eastbound	-34.21072	151.01109	Roads and Maritime Services	
Load Checking Area	Nth of Moolgun Bridge N/B	"HUME HIGHWAY, DOUGLAS PARK"	22km South of Campbelltown	Westbound	-34.20507	150.69762	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Mahda Rest Area - Northbound	"NEWELL HIGHWAY, NR MIRROOL"	102km from Narrandera and 34km to West Wyalong	Both Directions	-34.19963	147.11033	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Appin Park	"APPIN RD, APPIN"	At Appin	Northbound	-34.19944	150.78889	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area	Mahda Rest Area - Southbound	"NEWELL HIGHWAY, NR MIRROOL"	102km from Narrandera and 34km to West Wyalong	Both Directions	-34.19892	147.11058	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area		"LADY WAKEHURST DR, ROYAL NATIONAL PARK (SOUTH)"	9km North of Stanwell Park	Both Directions	-34.18449	151.01841	National Parks and Wildlife Service	
Heavy and Light Vehicle Rest Area	Bendick Murrell Rest Area	"OLYMPIC HIGHWAY, NR YOUNG"	26km from Young and  45km to Cowra	Both Directions	-34.16737	148.45963	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Partridge VC Rest Area S/B	"HUME HIGHWAY, MENANGLE PARK"	23km South of Campbelltown	Southbound	-34.15711	150.73875	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	100m South of Arumpo Rd	"SILVER CITY HIGHWAY, BURONGA"	5km from Mildura (VIC) and  28km to Wentworth	Both Directions	-34.15133	142.18024	Roads and Maritime Services	"Toilets, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Parking Area Old Toll Office	"SOUTHERN FREEWAY, WATERFALL"	43km North of Wollongong	Southbound	-34.15035	150.99006	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Curlwaa Rest Area	"SILVER CITY HIGHWAY, CURLWAA"	29km from Mildura (VIC) and  4km to Wentworth	Both Directions	-34.11366	141.96007	Roads and Maritime Services	"Toilets, Litter Bins,Wheelchair Accessible"
Load Checking Area	Gunbar	"MID WESTERN HIGHWAY, GUNBAR"	179km from West Wyalong and  76km to Hay	Both Directions	-34.05132	145.38959	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Robins Nest (Mirool Ck)	"COBB HIGHWAY, NR BOOLIGAL"	58km from Hay and 151km to Ivanhoe	Both Directions	-34.03166	144.82599	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Load Checking Area		"BARMEDMAN-WEST WYALONG RD, YIDDAH"	51km from Temora and 18km to West Wyalong	Both Directions	-34.03157	147.31787	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Tuena Picnic Area	"GOULBURN - ILFORD ROAD, TUENA"	66km West of Crookwell	Both Directions	-34.02258	149.33312	Council	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Ilkadoon Rd	"MID WESTERN HIGHWAY, GOOLGOWI"	148km from West Wyalong and 107km to Hay	Both Directions	-33.98981	145.69494	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"KIDMAN WAY, TABBITA"	50km from Griffith and 60km to Hillston	Both Directions	-33.98441	145.70999	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Charcoal Tank Rest Area	"NEWELL HIGHWAY, ALLEENA"	127km from Narrandera and  9km to West Wyalong	Both Directions	-33.98371	147.1576	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Goolgowi	"ZARA ST, GOOLGOWI"	146km from West Wyalong and 109km to Hay	Both Directions	-33.98187	145.71063	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	The Sir Roden Cutler VC Rest Area	"CAMDEN VALLEY WAY, PRESTONS"	400m north from Camden Valley Way	Both Directions	-33.953	150.874	Council	"Playground, Litter Bins"
Light Vehicle Rest Area	Milpara Rest Area	"SILVER CITY HIGHWAY, NR TARA DOWNS"	26km from Wentworth and  240km to Broken Hill	Both Directions	-33.92618	141.79607	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area		"NEWELL HIGHWAY, NR WYALONG"	5km from West Wyalong and  99km to Forbes	Both Directions	-33.92495	147.25547	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Cooinda Park	"NEELD ST, WEST WYALONG"	3km from West Wyalong and 101km to Forbes	Both Directions	-33.92431	147.2342	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Five Mile Rest Area-South Bound	"NEWELL HIGHWAY, NR WYALONG"	7km from West Wyalong and  97km to Forbes	Both Directions	-33.91563	147.27803	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Five Mile Rest Area-North Bound	"NEWELL HIGHWAY, NR WYALONG"	7km from West Wyalong and  97km to Forbes	Both Directions	-33.91541	147.2777	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area		"MID WESTERN HIGHWAY, GRENFELL"	11.8km East of Grenfell	Both Directions	-33.9101	148.29982	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area		"MID WESTERN HIGHWAY, GRENFELL"	8.3-9.6km East of Grenfell	Both Directions	-33.90856	148.26521	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Bumbaldry-Tyagong Creek	"MID WESTERN HIGHWAY, COWRA"	29.5km East of Grenfell	Both Directions	-33.90189	148.46662	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"FORBES RD, GRENFELL"	West Grenfell	Both Directions	-33.89035	148.14512	Other	Litter Bins
Load Checking Area	Broula Hill	"MID WESTERN HIGHWAY, COWRA"	32.8km East of Grenfell	Both Directions	-33.8867	148.49738	Roads and Maritime Services	Litter Bins
Load Checking Area		"FORBES RD, GRENFELL"	0.65km West of Grenfell	Both Directions	-33.88508	148.14002	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	John Oxley Rest Area	"MID WESTERN HIGHWAY, RANKINS SPRINGS"	99km from West Wyalong and 156km to Hay	Both Directions	-33.87268	146.18424	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Back Creek - South Bound	"NEWELL HIGHWAY, NR WYALONG"	19km from West Wyalong and  86km to Forbes	Both Directions	-33.85606	147.37711	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Back Creek - North Bound	"NEWELL HIGHWAY, NR WYALONG"	19km from West Wyalong and  86km to Forbes	Both Directions	-33.85606	147.37711	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area		"MID WESTERN HIGHWAY, CARAGABAL"	5.3km East of Carragable	Both Directions	-33.85012	147.80652	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area		"MID WESTERN HIGHWAY, GRENFELL"	33.9km East of Carragable	Both Directions	-33.84957	148.09072	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Yalgogrin Rest Area	"MID WESTERN HIGHWAY, WEST WYALONG"	36km from West Wyalong and 220km to Hay	Both Directions	-33.84466	146.82883	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Caragabel	"MID WESTERN HIGHWAY, CARAGABAL"	Caragabel	Both Directions	-33.84378	147.73991	Other	"Picnic Tables, BBQ Facilities, Litter Bins"
Load Checking Area		"MID WESTERN HIGHWAY, COWRA"	43.8km East of Grenfell	Both Directions	-33.84223	148.60111	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Rankin Springs	"MID WESTERN HIGHWAY, RANKINS SPRINGS"	90.8km from West Wyalong and 164.656km to Hay	Both Directions	-33.84114	146.26415	Roads and Maritime Services	Litter Bins
Load Checking Area		"GRENFELL RD, COWRA"	0.4km West of Cowra	Both Directions	-33.83589	148.65037	Roads and Maritime Services	"Shelter, Picnic Tables, "
Heavy and Light Vehicle Rest Area	Cowra Olympic Park	"YOUNG RD, COWRA"	Cowra	Both Directions	-33.83569	148.67949	Other	"Toilets, Litter Bins"
Load Checking Area		"BATHURST RD, NR COWRA"	0.7km East of Cowra	Both Directions	-33.82557	148.72123	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Trunkey Creek	"ARTHUR ST, TRUNKEY CREEK"	53.2km from Bathurst	Both Directions	-33.81763	149.32441	Other	"Shelter, Picnic Tables, BBQ Facilities, Litter Bins"
Light Vehicle Rest Area		"MID WESTERN HIGHWAY, GRENFELL"	20.2km East of Carragable	Both Directions	-33.81494	147.95374	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"THE NORTHERN RD, MULGOA"	1.2km South of M4	Both Directions	-33.7972	150.69848	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Bairds Truck Stop	"COBB HIGHWAY, NR BOOLIGAL"	89km from Hay and 120km to Ivanhoe	Both Directions	-33.77474	144.9231	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Marsden Rest Area-North Bound	"NEWELL HIGHWAY, NR WYALONG"	36km from West Wyalong and  69km to Forbes	Both Directions	-33.76661	147.51693	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Glenbrook Oval	"GREAT WESTERN HWY, LAPSTONE"	82km from Lithgow	Eastbound	-33.76519	150.62338	Council	Litter Bins
Heavy and Light Vehicle Rest Area	Glenbrook	"GREAT WESTERN HWY, LAPSTONE"	22km from Fish River bridge	Eastbound	-33.76489	150.62336	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Marsden Rest Area-South Bound	"NEWELL HIGHWAY, NR WYALONG"	36km from West Wyalong and  68km to Forbes	Both Directions	-33.76415	147.51929	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Truck parking bay junction of HW6 & HW17.	"NEWELL HIGHWAY, MARSDEN PARK"	38km from West Wyalong	Both Directions	-33.75625	147.5275	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Jenolan State Forest	"HARTLEY-JENOLAN CAVES-BATHURST, JENOLAN CAVES"	9.4km South of Oberon turn off	Both Directions	-33.74941	150.04154	Other	Litter Bins
Heavy and Light Vehicle Rest Area	Woodford Academy Park	"GREAT WESTERN HWY, WOODFORD"	59km from Lithgow	Both Directions	-33.73334	150.47313	Council	Litter Bins
Light Vehicle Rest Area	Bulls Camp Reserve	"GREAT WESTERN HWY, LINDEN"	61km from Lithgow	Both Directions	-33.72658	150.49069	Council	Litter Bins
Heavy and Light Vehicle Rest Area	Eungella Park	"GREAT WESTERN HWY, LAWSON"	52.4km from Lithgow	Both Directions	-33.72397	150.41454	Council	Litter Bins
Load Checking Area	"F3 Truck Resting Area, Wahroonga"	"SYDNEY-NEWCASTLE FREEWAY, WAHROONGA"	400m from Pennant Hills Road	Northbound	-33.71789	151.1103	Roads and Maritime Services	
Load Checking Area		"GREAT WESTERN HIGHWAY, FAULCONBRIDGE"	64.5km from Lithgow	Both Directions	-33.71231	150.52081	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Kedumba Park	"GREAT WESTERN HWY, WENTWORTH FALLS"	44.8km from Lithgow	Westbound	-33.7098	150.35481	Council	"Toilets, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Pond	"GREAT WESTERN HWY, FAULCONBRIDGE"	66.3km from Lithgow	Northbound	-33.70289	150.53125	Council	Litter Bins
Heavy and Light Vehicle Rest Area	Buttenshaw Park Faulconbridge	"GREAT WESTERN HWY, SPRINGWOOD"	69.1km from Lithgow	Westbound	-33.69732	150.55195	Council	Litter Bins
Heavy and Light Vehicle Rest Area	State Forest Millionth Acre Hampton	"NR HAMPTON-NR OBERON RD, HAMPTON"	22.9km East of Oberon	Both Directions	-33.67712	150.05001	Other	"Toilets, Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area		"MID WESTERN HIGHWAY, LYNDHURST"	37.55km East of Cowra	Both Directions	-33.6744	149.02525	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
